awayPoints,awayTeam,game_date,homePoints,homeTeam,season,week,day_of_week_name,Winner,Month
20.0,LAC,2023-11-19,23.0,GB,2023.0,11,Sunday,GB,11
29.0,GB,2023-11-23,22.0,DET,2023.0,12,Thursday,GB,11
19.0,KC,2023-12-03,27.0,GB,2023.0,13,Sunday,GB,12
22.0,GB,2023-12-11,24.0,NYG,2023.0,14,Monday,NYG,12
34.0,TB,2023-12-17,20.0,GB,2023.0,15,Sunday,TB,12
33.0,GB,2023-12-24,30.0,CAR,2023.0,16,Sunday,GB,12
33.0,GB,2023-12-31,10.0,MIN,2023.0,17,Sunday,GB,12
9.0,CHI,2024-01-07,17.0,GB,2023.0,18,Sunday,GB,1
48.0,GB,2024-01-14,32.0,DAL,2023.0,19,Sunday,GB,1
21.0,GB,2024-01-20,24.0,SF,2023.0,20,Saturday,SF,1
29.0,GB,2024-09-06,34.0,PHI,2024.0,1,Friday,PHI,9
10.0,IND,2024-09-15,16.0,GB,2024.0,2,Sunday,GB,9
30.0,GB,2024-09-22,14.0,TEN,2024.0,3,Sunday,GB,9
31.0,MIN,2024-09-29,29.0,GB,2024.0,4,Sunday,MIN,9
24.0,GB,2024-10-06,19.0,LA,2024.0,5,Sunday,GB,10
13.0,ARI,2024-10-13,34.0,GB,2024.0,6,Sunday,GB,10
22.0,HOU,2024-10-20,24.0,GB,2024.0,7,Sunday,GB,10
30.0,GB,2024-10-27,27.0,JAX,2024.0,8,Sunday,GB,10
24.0,DET,2024-11-03,14.0,GB,2024.0,9,Sunday,DET,11
20.0,GB,2024-11-17,19.0,CHI,2024.0,11,Sunday,GB,11
10.0,SF,2024-11-24,38.0,GB,2024.0,12,Sunday,GB,11
17.0,MIA,2024-11-28,30.0,GB,2024.0,13,Thursday,GB,11
31.0,GB,2024-12-05,34.0,DET,2024.0,14,Thursday,DET,12
30.0,GB,2024-12-15,13.0,SEA,2024.0,15,Sunday,GB,12
0.0,NO,2024-12-23,34.0,GB,2024.0,16,Monday,GB,12
25.0,GB,2024-12-29,27.0,MIN,2024.0,17,Sunday,MIN,12
24.0,CHI,2025-01-05,22.0,GB,2024.0,18,Sunday,CHI,1
10.0,GB,2025-01-12,22.0,PHI,2024.0,19,Sunday,PHI,1
13.0,DET,2025-09-07,27.0,GB,2025.0,1,Sunday,GB,9
18.0,WAS,2025-09-11,27.0,GB,2025.0,2,Thursday,GB,9
10.0,GB,2025-09-21,13.0,CLE,2025.0,3,Sunday,CLE,9
40.0,GB,2025-09-28,40.0,DAL,2025.0,4,Sunday,Tie,9
18.0,CIN,2025-10-12,27.0,GB,2025.0,6,Sunday,GB,10
27.0,GB,2025-10-19,23.0,ARI,2025.0,7,Sunday,GB,10
35.0,GB,2025-10-26,25.0,PIT,2025.0,8,Sunday,GB,10
16.0,CAR,2025-11-02,13.0,GB,2025.0,9,Sunday,CAR,11
10.0,PHI,2025-11-10,7.0,GB,2025.0,10,Monday,PHI,11
27.0,GB,2025-11-16,20.0,NYG,2025.0,11,Sunday,GB,11
6.0,MIN,2025-11-23,23.0,GB,2025.0,12,Sunday,GB,11
,GB,2025-11-27,,DET,2025.0,13,Thursday,Tie,11
,CHI,2025-12-07,,GB,2025.0,14,Sunday,Tie,12
,GB,2025-12-14,,DEN,2025.0,15,Sunday,Tie,12
,GB,2025-12-19,,CHI,2025.0,16,Friday,Tie,12
,BAL,2025-12-28,,GB,2025.0,17,Sunday,Tie,12
,GB,2026-01-04,,MIN,2025.0,18,Sunday,Tie,1
